"WINWICK (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SJ605931,Long,-2.596002,Lat,53.433193,,,,,,,
Station no,2820/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.89,3.53,1.50,3.12,2.33,4.27,1.95,2.11,2.66,4.81,,
February,1.86,1.17,1.14,3.07,2.18,0.43,2.07,5.89,0.33,1.80,,
March,4.56,1.95,1.52,2.22,1.89,1.14,2.90,1.46,1.51,1.78,,
April,2.26,2.73,2.68,0.79,1.76,3.55,0.84,0.77,3.01,1.79,,
May,2.65,2.08,1.80,2.24,2.93,1.15,1.35,3.78,2.42,2.16,,
June,0.80,2.65,1.84,2.84,2.99,1.69,2.06,4.48,3.33,1.53,,
July,3.04,1.59,5.40,4.88,0.67,5.76,4.69,5.41,3.21,3.81,,
August,4.85,2.23,3.94,4.50,0.88,10.74,5.34,3.60,0.58,4.65,,
September,2.70,3.46,3.55,3.89,2.86,3.08,5.46,3.39,0.22,3.17,,
October,0.70,4.09,1.60,5.98,2.20,2.51,3.30,3.35,3.08,3.74,,
November,8.34,2.58,2.99,5.50,1.61,1.52,1.22,1.56,3.80,5.39,,
December,5.59,2.95,1.12,4.85,4.05,3.15,2.88,3.86,5.35,3.80,,
Total,40.24,31.01,29.08,43.88,26.35,38.99,34.06,39.66,29.50,38.43,,
Calc annual,40.24,31.01,29.08,43.88,26.35,38.99,34.06,39.66,29.50,38.43,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
