"TONGUE",,,,,,,,,,,,
Grid ref,NC586585,Long,-4.427485,Lat,58.491690,,,,,,,
Station no,5803,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.87,5.97,3.13,3.01,2.67,5.63,4.77,4.59,7.59,4.04,,
February,3.27,3.44,2.84,2.85,2.84,2.53,2.46,3.34,1.09,3.14,,
March,3.71,3.42,2.23,2.17,2.48,1.68,4.56,1.96,1.24,1.16,,
April,4.45,0.73,3.31,1.59,1.37,2.39,1.35,2.59,3.59,2.34,,
May,0.63,2.48,2.56,3.55,3.59,2.15,1.84,6.03,1.97,1.59,,
June,2.56,2.88,2.25,3.57,1.23,2.17,3.25,1.48,1.98,2.73,,
July,2.64,1.87,3.70,4.13,0.50,7.42,5.48,1.50,6.05,1.90,,
August,3.89,4.10,2.53,2.94,0.51,6.36,6.03,3.21,2.64,4.56,,
September,1.57,3.96,3.42,3.71,4.54,1.65,2.99,1.30,1.62,1.63,,
October,2.00,3.88,1.88,7.69,6.08,4.05,3.89,4.54,5.10,2.78,,
November,6.56,5.85,4.73,4.30,2.94,3.95,3.18,2.11,5.15,1.61,,
December,6.41,4.20,2.98,8.38,6.70,4.73,6.96,4.32,3.16,3.07,,
Total,41.56,42.78,35.56,47.89,35.45,44.71,46.76,36.97,41.18,30.55,,
Calc annual,41.56,42.78,35.56,47.89,35.45,44.71,46.76,36.97,41.18,30.55,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
