"KETTON",,,,,,,,,,,,
Grid ref,SK984044,Long,-0.547645,Lat,52.628449,,,,,,,
Station no,2523/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.61,1.46,0.89,1.43,2.54,4.49,0.75,2.53,3.20,3.45,,
February,4.12,0.37,2.10,2.20,2.58,0.79,2.74,3.59,0.11,1.74,,
March,3.44,2.96,1.09,2.18,2.53,0.86,1.74,1.67,1.95,2.06,,
April,2.16,1.51,2.27,0.31,0.94,1.15,0.47,0.75,1.91,0.41,,
May,2.93,1.83,2.05,2.96,3.42,0.89,1.72,2.16,0.59,1.23,,
June,1.58,1.75,2.49,3.06,2.72,2.49,2.12,4.05,0.71,2.29,,
July,0.66,0.33,1.75,2.07,0.27,3.33,2.88,2.76,1.56,3.02,,
August,4.68,3.72,2.99,3.84,0.82,3.91,3.13,2.56,1.12,3.25,,
September,1.35,1.80,1.53,2.05,1.70,1.96,5.03,1.84,0.16,3.70,,
October,1.20,2.56,1.90,2.28,2.15,1.02,1.05,1.83,1.27,5.04,,
November,5.33,2.99,1.80,4.85,1.27,0.80,1.60,1.52,2.11,3.30,,
December,1.72,2.16,0.76,2.68,1.92,2.64,2.35,2.43,3.59,2.90,,
Total,31.78,23.44,21.62,29.91,22.86,24.33,25.58,27.69,18.28,32.39,,
Calc annual,31.78,23.44,21.62,29.91,22.86,24.33,25.58,27.69,18.28,32.39,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
