"TURNBERRY",,,,,,,,,,,,
Grid ref,NS203062,Long,-4.833428,Lat,55.316958,,,,,,,
Station no,5262/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.88,5.70,1.91,4.23,2.98,-999.00,4.07,,,,,
February,3.19,2.02,1.20,,2.25,0.77,2.70,2.97,1.66,,,
March,2.96,1.48,0.51,,1.39,1.35,3.89,,2.01,1.40,,
April,2.29,1.18,1.42,,2.64,0.96,2.16,2.35,1.90,2.72,,
May,1.70,1.49,2.05,1.38,3.41,1.85,1.82,3.27,1.11,1.46,,
June,2.14,2.75,0.75,5.32,3.59,2.27,1.78,2.87,2.79,2.05,,
July,2.23,3.27,6.18,3.85,1.66,4.96,3.66,3.92,3.31,3.32,,
August,4.50,6.51,3.71,4.71,1.50,5.58,4.01,4.50,0.94,5.17,,
September,2.22,2.81,4.52,4.13,3.44,3.73,3.79,2.97,1.90,2.99,,
October,0.88,4.16,3.83,7.24,2.21,2.70,4.38,2.51,5.76,1.60,,
November,6.04,2.59,5.42,4.35,1.69,1.93,1.81,1.83,3.92,5.58,,
December,7.15,3.97,3.71,5.34,4.39,5.00,,,4.67,,,
Total,39.18,37.93,35.21,,31.15,33.08,,,,,,
Calc annual,39.18,37.93,35.21,40.55,31.15,31.10,34.07,27.19,29.97,26.29,,
Difference,0.00,0.00,0.00,NaN,-0.00,1.98,NaN,NaN,NaN,NaN,,
