"ROCHDALE (HADEN FILTERS)",,,,,,,,,,,,
Grid ref,SD857164,Long,-2.217782,Lat,53.643911,,,,,,,
Station no,2894,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.33,5.75,2.20,5.18,3.40,,,,,,,
February,3.16,1.59,2.29,3.95,2.58,,,,,,,
March,5.80,3.16,2.52,3.43,2.13,,,,,,,
April,3.04,3.95,3.70,0.97,3.00,,,,,,,
May,1.70,2.20,2.43,3.40,4.49,,,,,,,
June,2.26,4.75,3.45,4.37,3.88,,,,,,,
July,3.52,3.07,7.94,6.85,2.22,,,,,,,
August,5.31,5.83,6.85,7.16,1.12,,,,,,,
September,3.77,3.99,4.63,5.91,3.75,,,,,,,
October,1.26,5.54,2.23,9.95,2.86,,,,,,,
November,9.51,2.90,5.96,6.80,2.56,,,,,,,
December,9.32,5.12,2.22,8.36,7.53,,,,,,,
Total,53.98,47.85,46.42,66.33,39.52,,,,,,,
Calc annual,53.98,47.85,46.42,66.33,39.52,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
