"FEARN (GEANIES)",,,,,,,,,,,,
Grid ref,NH895793,Long,-3.860290,Lat,57.789662,,,,,,,
Station no,5770,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.38,1.64,1.02,1.08,1.75,2.36,2.59,1.78,3.08,1.88,,
February,1.34,1.38,1.45,1.27,2.17,1.25,1.29,1.89,0.35,1.37,,
March,1.41,2.24,0.68,1.30,1.39,0.54,2.82,0.95,2.27,0.88,,
April,2.47,0.81,1.43,0.72,1.13,1.96,0.67,1.16,2.46,1.44,,
May,0.49,1.04,3.13,3.08,2.28,1.09,0.98,3.08,0.91,0.83,,
June,1.44,1.40,1.43,2.60,1.11,2.06,2.81,1.87,0.96,3.03,,
July,2.18,1.53,4.15,2.90,0.47,5.17,6.78,1.88,2.98,2.82,,
August,3.87,2.71,2.21,1.95,0.48,4.28,3.53,3.33,1.15,3.92,,
September,0.84,0.72,2.07,2.26,1.30,2.73,1.08,2.08,1.03,2.06,,
October,0.99,1.58,0.87,4.96,3.35,2.84,1.10,2.78,2.55,2.12,,
November,3.78,2.43,2.31,2.52,0.99,1.47,1.54,1.12,3.23,1.70,,
December,2.32,1.39,2.07,3.80,4.19,1.85,3.60,2.75,1.15,1.10,,
Total,23.51,18.87,22.82,28.44,20.61,27.60,28.79,24.67,22.12,23.15,,
Calc annual,23.51,18.87,22.82,28.44,20.61,27.60,28.79,24.67,22.12,23.15,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
