"NEAR SAWREY (FERRY HOUSE)",,,,,,,,,,,,
Grid ref,SD390956,Long,-2.940026,Lat,54.352269,,,,,,,
Station no,3027/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.81,5.71,4.75,5.78,5.68,5.47,8.63,8.39,3.50,10.01,,
February,5.88,1.42,2.50,5.31,2.28,0.92,6.06,8.10,2.17,6.38,,
March,4.99,4.13,1.15,5.61,2.43,2.61,5.09,1.95,5.30,2.06,,
April,4.10,3.73,3.52,2.38,3.75,1.13,1.30,1.90,5.24,5.04,,
May,1.22,3.39,2.84,3.94,3.77,3.29,4.24,5.94,1.35,3.40,,
June,1.36,4.51,5.73,6.20,5.33,2.20,2.30,4.00,5.54,3.63,,
July,3.68,2.91,6.99,5.70,3.51,5.73,3.36,3.90,4.31,7.62,,
August,5.86,7.41,7.20,7.59,3.42,8.58,5.69,4.73,0.72,4.25,,
September,7.73,4.62,9.82,11.37,4.63,5.36,6.46,7.79,1.42,5.03,,
October,1.09,4.98,3.01,13.74,4.75,5.94,7.67,7.56,7.24,4.99,,
November,10.51,3.29,10.08,12.69,3.16,2.72,2.29,2.03,7.56,12.34,,
December,13.26,6.82,4.48,10.20,10.23,8.43,6.78,5.92,13.32,7.27,,
Total,66.49,52.92,62.07,90.51,52.94,52.38,59.87,62.21,57.67,72.02,,
Calc annual,66.49,52.92,62.07,90.51,52.94,52.38,59.87,62.21,57.67,72.02,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
