"BEEFORD (COUNTY PRIMARY SCH)",,,,,,,,,,,,
Grid ref,TA128542,Long,-0.281796,Lat,53.971573,,,,,,,
Station no,3401/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.38,,
February,,,,,,,,,,1.35,,
March,,,,,,,,,,1.54,,
April,,,,,,,,,,0.90,,
May,,,,,,,,,,1.17,,
June,,,,,,,,,,0.19,,
July,,,,,,,,,,4.32,,
August,,,,,,,,,,4.93,,
September,,,,,,,,,,2.07,,
October,,,,,,,,,,7.98,,
November,,,,,,,,,,5.54,,
December,,,,,,,,,,2.95,,
Total,,,,,,,,,,38.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
