"LOCH TORRIDON (TORRIDON HOUSE)",,,,,,,,,,,,
Grid ref,NG869572,Long,-5.563600,Lat,57.554515,,,,,,,
Station no,5784/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.22,6.44,5.40,7.05,4.68,6.75,10.20,12.05,6.57,5.22,,
February,4.97,5.83,6.04,4.91,5.34,6.91,4.76,7.37,3.12,5.67,,
March,3.25,3.89,2.82,3.79,2.20,1.67,5.50,2.68,3.18,1.08,,
April,6.60,3.58,6.65,3.16,4.59,3.93,3.84,4.69,6.11,5.26,,
May,2.05,5.11,4.96,5.89,4.49,4.46,1.84,6.62,2.95,1.73,,
June,2.52,5.09,2.30,6.83,2.54,3.50,3.92,2.07,5.86,8.28,,
July,5.22,5.44,8.08,6.08,1.57,8.15,5.14,2.86,7.70,3.55,,
August,5.02,5.01,6.96,3.88,1.27,7.50,6.75,4.51,4.00,5.62,,
September,5.37,8.32,5.18,8.02,8.32,3.41,7.80,3.51,3.91,3.88,,
October,4.42,8.53,4.74,10.84,11.10,8.60,8.41,9.41,11.14,,,
November,7.42,6.74,9.91,8.29,2.79,8.15,5.34,2.70,7.62,,,
December,11.46,10.28,7.38,9.80,8.06,10.04,8.76,5.51,8.96,,,
Total,67.52,74.26,70.42,78.54,56.95,73.07,72.26,63.98,71.12,,,
Calc annual,67.52,74.26,70.42,78.54,56.95,73.07,72.26,63.98,71.12,40.29,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
