"CHLIOSTAIR POWER STATION",,,,,,,,,,,,
Grid ref,NB008092,Long,-7.062153,Lat,57.971080,,,,,,,
Station no,5766/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,8.97,8.02,,
February,,,,,,,,,3.02,3.16,,
March,,,,,,,,,3.18,2.44,,
April,,,,,,,,,11.03,4.37,,
May,,,,,,,,,2.46,3.03,,
June,,,,,,,,,4.90,5.25,,
July,,,,,,,,,8.66,4.04,,
August,,,,,,,,,7.23,7.30,,
September,,,,,,,,,4.24,5.51,,
October,,,,,,,,6.86,11.67,2.58,,
November,,,,,,,,4.97,11.13,7.94,,
December,,,,,,,,6.62,7.09,9.04,,
Total,,,,,,,,,83.58,62.68,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.45,83.58,62.68,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
