"GREAT BARFORD HOUSE",,,,,,,,,,,,
Grid ref,TL137533,Long,-0.339028,Lat,52.166265,,,,,,,
Station no,1182,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.01,1.57,,,,,,,,,,
February,2.90,0.44,,,,,,,,,,
March,3.03,2.87,,,,,,,,,,
April,2.73,1.32,,,,,,,,,,
May,1.72,2.56,,,,,,,,,,
June,1.33,0.95,,,,,,,,,,
July,0.94,0.42,,,,,,,,,,
August,4.14,4.21,,,,,,,,,,
September,1.44,1.86,,,,,,,,,,
October,0.87,2.09,,,,,,,,,,
November,3.75,2.39,,,,,,,,,,
December,1.35,1.82,,,,,,,,,,
Total,26.21,22.50,,,,,,,,,,
Calc annual,26.21,22.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
