"GLEN AFFRIC",,,,,,,,,,,,
Grid ref,NH279303,Long,-4.860476,Lat,57.330655,,,,,,,
Station no,5713/6/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.00,11.56,7.60,8.50,3.00,4.21,8.70,5.60,2.86,4.80,,
February,5.52,4.34,6.20,5.60,6.15,8.05,3.15,2.90,1.90,1.91,,
March,5.50,4.72,1.99,7.90,3.50,2.73,3.30,1.30,2.55,0.90,,
April,8.62,2.26,7.05,3.35,1.85,2.37,1.50,3.15,3.35,3.10,,
May,1.34,2.95,4.95,4.75,3.55,4.01,2.35,4.90,1.08,,,
June,1.70,3.53,3.30,2.80,2.05,1.85,2.35,2.10,3.05,,,
July,3.47,2.95,5.30,2.20,0.85,4.46,5.09,1.90,4.30,,,
August,4.62,4.80,4.10,3.00,0.85,6.38,5.90,2.80,3.10,,,
September,3.63,6.80,4.80,5.65,7.50,4.65,3.35,3.50,0.70,,,
October,2.40,8.25,2.00,8.80,9.50,5.30,6.80,6.20,6.20,,,
November,9.31,7.08,10.10,5.50,2.75,9.27,2.25,1.30,4.50,,,
December,12.50,9.31,9.00,11.50,7.84,9.58,8.55,2.70,6.16,,,
Total,67.61,68.55,66.39,69.55,49.39,62.86,53.29,38.35,39.75,,,
Calc annual,67.61,68.55,66.39,69.55,49.39,62.86,53.29,38.35,39.75,10.71,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,,
