"LOCH DHU",,,,,,,,,,,,
Grid ref,NN429037,Long,-4.533840,Lat,56.199899,,,,,,,
Station no,5507,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.87,7.35,4.90,9.23,5.55,6.09,13.85,10.41,3.55,7.19,,
February,5.13,2.25,4.21,7.86,4.79,2.53,6.85,3.83,3.44,8.73,,
March,4.88,8.75,2.62,7.05,2.60,4.62,9.21,2.37,6.68,3.79,,
April,6.00,3.91,4.11,3.54,4.85,2.91,3.45,3.10,6.20,9.89,,
May,2.50,2.25,5.72,5.92,5.27,5.56,3.98,5.93,2.04,5.20,,
June,4.14,4.93,2.59,4.16,3.82,4.41,2.71,3.89,4.19,4.40,,
July,4.22,2.95,7.13,3.61,1.54,7.26,5.77,5.90,7.19,6.68,,
August,8.94,5.19,6.07,6.66,1.37,8.51,5.99,7.36,2.76,5.65,,
September,6.89,4.55,9.03,11.54,6.48,8.13,5.99,6.30,1.85,4.59,,
October,2.29,7.96,6.00,13.75,5.94,5.89,8.63,8.18,8.93,6.48,,
November,12.42,2.82,13.62,14.55,5.05,3.45,2.39,2.77,9.57,11.21,,
December,12.79,7.68,9.49,13.77,14.81,11.28,11.95,10.64,15.06,9.83,,
Total,79.07,60.59,75.49,101.64,62.07,70.64,80.77,70.68,71.46,83.64,,
Calc annual,79.07,60.59,75.49,101.64,62.07,70.64,80.77,70.68,71.46,83.64,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
