"ROSEDALE NO. 14A",,,,,,,,,,,,
Grid ref,NZ677017,Long,-0.958531,Lat,54.406265,,,,,,,
Station no,3465/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.50,3.47,1.86,2.50,2.85,5.70,2.62,3.68,3.60,,,
February,4.50,3.06,3.87,4.36,5.00,3.50,3.78,5.80,0.70,,,
March,4.06,3.46,0.40,4.87,3.87,1.20,2.38,3.74,1.90,,,
April,2.35,1.65,3.78,1.20,1.16,1.15,1.31,2.20,3.70,,,
May,5.20,1.89,4.56,5.17,2.90,1.04,1.74,3.20,1.10,,,
June,1.86,2.08,3.56,2.20,3.30,5.58,2.20,4.40,2.10,,,
July,2.21,2.28,3.67,2.75,1.75,4.70,4.28,3.70,2.90,,,
August,7.86,3.66,3.17,10.16,1.54,9.21,5.95,3.50,0.40,,,
September,2.06,7.21,2.76,2.56,2.22,3.00,4.72,3.00,0.40,,,
October,2.45,5.58,3.57,5.86,3.21,2.69,2.98,2.60,2.82,,,
November,6.67,4.47,2.56,7.65,3.75,4.18,3.39,1.50,5.37,,,
December,4.46,3.56,2.48,2.66,4.85,2.80,2.80,4.40,6.18,,,
Total,47.18,42.37,36.24,51.94,36.40,44.75,38.15,41.72,31.17,,,
Calc annual,47.18,42.37,36.24,51.94,36.40,44.75,38.15,41.72,31.17,0.00,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
