"WOOKEY HOLE (ELM BATCH)",,,,,,,,,,,,
Grid ref,ST532478,Long,-2.671604,Lat,51.227460,,,,,,,
Station no,2021,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.57,3.25,1.17,2.77,3.91,4.40,3.31,2.40,3.65,2.43,,
February,4.25,1.63,2.25,3.95,2.26,0.31,3.60,4.10,0.23,2.40,,
March,3.87,4.44,0.99,3.50,1.56,1.46,2.62,1.00,3.89,2.81,,
April,4.59,2.02,2.89,0.64,2.05,1.64,0.14,1.20,2.70,2.60,,
May,3.03,4.01,2.28,2.86,3.83,0.58,2.47,2.73,1.77,1.79,,
June,1.00,4.73,2.60,4.12,3.71,1.81,2.71,3.51,2.18,2.65,,
July,1.06,0.83,5.95,4.18,0.35,2.59,5.65,2.52,2.64,5.72,,
August,5.70,4.42,3.87,4.37,1.00,3.80,4.16,4.35,0.79,6.78,,
September,2.72,4.32,3.72,5.12,2.84,4.74,4.26,5.66,0.41,3.41,,
October,0.61,5.09,2.61,4.54,2.10,3.45,3.13,3.22,3.49,7.37,,
November,9.04,5.56,2.39,7.26,3.98,0.85,1.53,3.23,5.36,3.25,,
December,2.91,3.66,1.16,3.09,5.31,2.85,3.20,4.48,5.90,3.60,,
Total,42.35,43.96,31.88,46.40,32.90,28.48,36.78,38.40,33.01,44.81,,
Calc annual,42.35,43.96,31.88,46.40,32.90,28.48,36.78,38.40,33.01,44.81,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
