"MARHAM (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TF717107,Long,0.537678,Lat,52.666817,,,,,,,
Station no,1466/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.60,1.88,3.36,1.80,2.07,3.49,3.14,,
February,,,,2.06,2.45,1.13,2.86,3.69,0.14,1.40,,
March,,,,2.40,1.65,0.76,2.00,0.96,1.64,1.06,,
April,,,,0.23,0.77,0.95,0.29,0.94,1.51,0.71,,
May,,,,3.26,2.43,0.98,0.93,3.23,0.55,0.51,,
June,,,,1.83,2.43,2.05,1.90,2.68,1.48,1.77,,
July,,,,2.84,0.27,3.14,3.36,3.72,3.47,2.82,,
August,,,,5.55,0.81,4.49,2.72,2.28,1.78,3.33,,
September,,,,2.46,1.45,1.41,4.33,2.60,0.04,2.53,,
October,,,,2.24,2.77,1.65,1.59,2.21,1.95,3.80,,
November,,,,4.31,1.15,1.28,1.35,1.42,1.44,3.54,,
December,,,,2.02,1.39,1.81,1.98,3.02,3.91,3.11,,
Total,,,,30.80,19.45,23.01,25.11,28.82,21.40,27.72,,
Calc annual,0.00,0.00,0.00,30.80,19.45,23.01,25.11,28.82,21.40,27.72,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
