"MEPPERSHALL (HIGH STREET)",,,,,,,,,,,,
Grid ref,TL137362,Long,-0.344725,Lat,52.012591,,,,,,,
Station no,1163,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.06,1.03,0.89,0.71,1.94,3.79,1.12,2.56,3.32,2.39,,
February,3.49,0.51,1.15,1.39,1.58,0.56,2.79,2.47,0.08,2.05,,
March,2.35,2.57,0.45,1.90,0.98,0.68,0.94,1.67,2.05,1.35,,
April,2.30,1.50,1.86,0.28,0.36,1.14,0.24,0.87,1.93,0.35,,
May,2.22,1.48,1.25,2.57,3.41,0.52,0.88,1.66,0.84,1.25,,
June,0.70,1.13,1.79,2.35,2.04,2.30,1.12,5.05,0.60,2.24,,
July,1.29,0.26,2.53,2.96,0.51,3.37,3.10,4.47,3.91,3.42,,
August,3.33,2.81,2.32,3.26,0.73,4.14,2.87,3.28,0.84,2.87,,
September,2.35,2.37,1.09,1.41,1.04,1.72,2.75,3.50,0.09,3.39,,
October,1.24,2.23,1.92,1.52,1.88,1.55,1.97,2.36,1.73,4.66,,
November,3.62,2.98,1.07,3.63,1.14,0.68,1.72,1.60,2.06,4.02,,
December,1.21,1.65,0.44,1.77,1.93,2.88,2.20,2.31,3.10,3.10,,
Total,26.16,20.52,16.76,23.75,17.54,23.33,21.70,31.80,20.55,31.09,,
Calc annual,26.16,20.52,16.76,23.75,17.54,23.33,21.70,31.80,20.55,31.09,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
