"WOLLASTON",,,,,,,,,,,,
Grid ref,SP906627,Long,-0.674147,Lat,52.255022,,,,,,,
Station no,1113,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.53,1.54,1.03,0.88,1.87,,,,,,,
February,3.31,0.58,1.37,2.17,1.43,,,,,,,
March,3.20,2.58,0.64,2.48,2.11,,,,,,,
April,2.63,1.88,1.91,0.23,0.62,,,,,,,
May,2.90,3.63,1.92,2.62,3.46,,,,,,,
June,0.81,1.16,1.25,2.56,2.30,,,,,,,
July,1.27,0.43,3.17,2.74,0.20,,,,,,,
August,3.21,3.27,2.05,4.02,0.75,,,,,,,
September,2.21,2.50,1.74,2.11,1.25,,,,,,,
October,0.71,2.91,1.71,2.10,,,,,,,,
November,4.65,2.88,1.33,4.66,,,,,,,,
December,1.83,2.26,0.54,2.30,,,,,,,,
Total,29.26,25.62,18.66,28.87,,,,,,,,
Calc annual,29.26,25.62,18.66,28.87,13.99,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
