"LONDONDERRY (DUNRUADH)",,,,,,,,,,,,
Grid ref,IC445199,Long,-7.304888,Lat,55.024732,,,,,,,
Station no,6238,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.48,6.02,,,,,,,,,,
February,3.68,2.23,,,,,,,,,,
March,3.36,2.21,,,,,,,,,,
April,2.61,1.41,,,,,,,,,,
May,1.21,1.67,,,,,,,,,,
June,2.07,2.76,,,,,,,,,,
July,3.08,2.17,,,,,,,,,,
August,3.46,5.27,,,,,,,,,,
September,2.26,3.48,,,,,,,,,,
October,2.17,4.06,,,,,,,,,,
November,4.57,3.43,,,,,,,,,,
December,5.38,6.15,,,,,,,,,,
Total,37.33,40.86,,,,,,,,,,
Calc annual,37.33,40.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
