"MARSDEN RESERVOIR",,,,,,,,,,,,
Grid ref,SE046121,Long,-1.931955,Lat,53.605441,,,,,,,
Station no,3196,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.99,6.37,2.46,4.67,3.96,7.13,4.30,5.40,5.30,7.79,,
February,4.57,1.93,2.85,4.53,3.37,1.74,4.04,8.19,0.63,3.94,,
March,7.26,3.03,3.29,3.55,3.09,2.02,4.15,3.72,2.59,2.19,,
April,3.75,4.28,4.70,0.99,2.03,3.89,0.61,1.76,6.20,3.27,,
May,3.78,2.38,2.82,4.26,5.95,2.18,1.48,4.84,2.38,2.89,,
June,3.75,4.12,3.17,3.49,4.20,3.68,2.37,6.60,2.44,2.07,,
July,3.92,2.88,7.43,6.21,1.32,8.54,5.39,5.82,4.08,7.25,,
August,7.21,5.63,5.95,6.29,1.19,13.90,5.93,5.22,0.56,7.71,,
September,3.33,4.63,3.86,7.95,3.43,5.13,7.62,6.50,0.49,3.38,,
October,1.61,6.96,2.25,9.28,3.40,3.78,7.77,5.23,5.65,6.56,,
November,11.13,2.70,5.88,8.08,2.66,2.44,3.74,1.55,5.86,7.71,,
December,10.03,5.33,2.53,8.72,7.39,5.35,6.42,5.55,9.82,6.27,,
Total,66.33,50.24,47.19,68.02,41.99,59.78,53.82,60.38,46.00,61.03,,
Calc annual,66.33,50.24,47.19,68.02,41.99,59.78,53.82,60.38,46.00,61.03,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
