"PRESTWICH (HEATON PARK)",,,,,,,,,,,,
Grid ref,SD825043,Long,-2.265503,Lat,53.535056,,,,,,,
Station no,2840,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.58,1.73,4.32,2.88,5.59,3.71,3.19,3.17,5.29,,
February,,1.33,2.22,2.22,1.63,0.93,2.72,6.45,0.51,2.22,,
March,,2.76,2.13,3.21,2.18,1.56,4.03,2.21,1.99,0.97,,
April,,4.18,2.98,0.85,2.53,3.46,0.66,1.30,2.63,1.99,,
May,,2.39,2.13,3.26,3.46,1.42,1.83,4.31,1.33,2.04,,
June,,3.35,2.62,3.97,3.58,3.19,2.17,5.27,2.78,2.05,,
July,,2.45,6.21,6.19,1.11,7.70,6.39,5.61,3.29,6.47,,
August,,3.74,5.88,6.30,0.93,11.72,5.63,6.64,0.51,5.29,,
September,,3.77,4.20,5.04,3.22,3.36,7.28,6.73,0.27,2.73,,
October,,4.21,2.12,7.54,2.23,3.12,5.30,3.08,3.86,4.78,,
November,,2.79,4.49,5.94,2.26,1.91,2.08,2.08,4.03,5.91,,
December,6.96,4.07,1.58,6.13,5.94,4.15,4.86,4.00,6.17,4.38,,
Total,,39.62,38.29,54.97,31.95,48.11,46.66,50.87,30.54,44.12,,
Calc annual,6.96,39.62,38.29,54.97,31.95,48.11,46.66,50.87,30.54,44.12,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
