"AUGHNACLOY (SWEAGE WKS.)",,,,,,,,,,,,
Grid ref,IH664519,Long,-6.977956,Lat,54.411477,,,,,,,
Station no,6248/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.36,2.11,3.82,,
February,,,,,,,,3.39,1.11,2.66,,
March,,,,,,,,1.36,3.19,2.67,,
April,,,,,,,,0.97,3.35,2.16,,
May,,,,,,,,2.57,1.23,2.60,,
June,,,,,,,,5.63,2.46,2.69,,
July,,,,,,,,3.70,3.40,4.04,,
August,,,,,,,,4.76,1.20,4.71,,
September,,,,,,,,2.84,1.82,2.78,,
October,,,,,,,,2.51,5.33,3.60,,
November,,,,,,,,1.76,4.98,4.88,,
December,,,,,,,,4.91,5.55,3.74,,
Total,,,,,,,,37.76,35.73,40.35,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.76,35.73,40.35,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,,
