"GREAT WALDINGFIELD (RECTORY FLAT)",,,,,,,,,,,,
Grid ref,TL912437,Long,0.787540,Lat,52.058680,,,,,,,
Station no,1337/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.29,0.82,,,,,,,,,
February,,0.64,1.02,,,,,,,,,
March,,2.94,0.41,,,,,,,,,
April,,1.13,2.17,,,,,,,,,
May,,0.77,1.61,,,,,,,,,
June,,0.89,3.25,,,,,,,,,
July,,0.81,2.39,,,,,,,,,
August,,2.21,,,,,,,,,,
September,,2.80,,,,,,,,,,
October,,2.14,,,,,,,,,,
November,,4.18,,,,,,,,,,
December,,2.25,,,,,,,,,,
Total,,23.05,,,,,,,,,,
Calc annual,0.00,23.05,11.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
