"LOCH TURRET (AUCHNAFREE HILL)",,,,,,,,,,,,
Grid ref,NN814298,Long,-3.925490,Lat,56.445410,,,,,,,
Station no,1331495,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.00,4.20,2.30,,4.25,4.10,10.40,6.45,3.50,7.45,,
February,6.80,2.10,2.00,,3.30,2.15,10.60,4.50,3.00,8.40,,
March,6.10,5.45,2.20,,3.80,4.10,6.60,4.00,,5.75,,
April,6.20,3.70,2.80,,2.80,1.50,3.10,3.70,11.80,7.35,,
May,1.65,3.50,3.50,6.30,2.90,3.80,3.55,4.80,1.50,6.00,,
June,3.41,3.75,3.20,4.00,2.60,4.25,3.60,5.85,2.70,3.95,,
July,4.15,3.20,7.40,4.00,1.50,7.60,7.20,6.60,7.20,7.10,,
August,,6.10,3.00,4.65,1.50,8.15,8.15,6.15,3.60,6.00,,
September,,2.60,7.00,5.50,3.60,8.35,5.10,7.85,,5.00,,
October,,6.00,3.75,7.50,4.75,5.15,3.80,5.60,,,,
November,10.85,3.50,8.50,9.45,3.10,1.90,5.60,2.15,33.20,,,
December,6.70,4.50,8.00,7.50,11.00,8.15,10.00,8.50,16.20,,,
Total,69.91,48.60,53.65,,45.10,59.20,77.70,66.15,82.70,,,
Calc annual,52.86,48.60,53.65,48.90,45.10,59.20,77.70,66.15,82.70,57.00,,
Difference,17.05,0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,NaN,,
