"SOUTHGATE (OAKWOOD PARK ROAD)",,,,,,,,,,,,
Grid ref,TQ304951,Long,-0.116995,Lat,51.639595,,,,,,,
Station no,889/4/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.13,2.00,,
February,,,,,,,,,0.05,2.07,,
March,,,,,,,,,1.90,1.46,,
April,,,,,,,,,2.41,0.48,,
May,,,,,,,,,1.70,1.96,,
June,,,,,,,,,0.67,1.37,,
July,,,,,,,,,1.51,3.10,,
August,,,,,,,,,1.17,2.02,,
September,,,,,,,,,0.03,3.68,,
October,,,,,,,,,1.98,5.50,,
November,,,,,,,,2.02,2.53,4.03,,
December,,,,,,,,3.07,3.71,2.62,,
Total,,,,,,,,,19.79,30.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.09,19.79,30.29,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
