"FAR SAWREY (RIGHTING HOUSE)",,,,,,,,,,,,
Grid ref,SD374962,Long,-2.964765,Lat,54.357467,,,,,,,
Station no,3028/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,5.84,5.36,5.33,7.81,7.57,3.63,10.32,,
February,,,,4.82,2.00,1.00,5.96,8.67,2.39,6.17,,
March,,,,4.32,2.50,2.41,4.89,2.41,4.83,2.09,,
April,,,,2.29,3.50,1.24,1.41,1.88,5.26,5.39,,
May,,,,3.79,3.98,3.51,4.28,6.50,1.52,3.42,,
June,,,,6.24,5.04,2.50,2.41,4.20,5.40,3.05,,
July,,,,6.00,3.01,5.85,3.76,4.38,4.39,8.11,,
August,,,,8.20,3.56,9.47,5.95,4.88,0.64,4.06,,
September,,,,11.38,4.33,5.47,7.22,7.87,1.36,5.03,,
October,,,,13.84,4.55,6.03,7.88,7.69,7.32,5.11,,
November,,,,12.03,3.10,2.55,2.47,1.88,7.57,11.74,,
December,,,,9.98,9.62,7.28,7.21,6.08,12.94,7.03,,
Total,,,,88.73,50.55,52.64,61.25,64.01,57.25,71.52,,
Calc annual,0.00,0.00,0.00,88.73,50.55,52.64,61.25,64.01,57.25,71.52,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
