"MARKET DRAYTON",,,,,,,,,,,,
Grid ref,SJ675342,Long,-2.484641,Lat,52.904245,,,,,,,
Station no,2325/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.33,2.61,1.04,1.74,2.61,3.07,1.86,,,,,
February,2.36,0.82,1.89,2.55,1.66,0.43,2.43,,,,,
March,3.92,1.62,1.04,2.36,2.73,1.43,2.27,,,,,
April,1.91,2.42,2.85,0.59,1.55,1.37,0.23,,,,,
May,3.32,1.56,2.76,3.01,3.69,0.67,1.36,,,,,
June,1.67,2.23,2.53,3.46,2.83,3.19,2.11,,,,,
July,1.98,1.31,4.10,3.72,0.60,3.32,7.35,,,,,
August,3.68,2.17,2.61,4.47,1.45,4.85,6.08,,,,,
September,2.41,2.13,2.46,3.03,3.11,2.55,5.92,,,,,
October,0.96,4.06,2.26,5.47,1.60,2.51,2.25,,,,,
November,5.68,1.92,1.93,5.18,1.71,1.56,1.79,,,,,
December,3.09,2.93,1.45,2.85,2.54,2.57,1.25,,,,,
Total,33.31,25.78,26.92,38.43,26.08,27.52,34.90,,,,,
Calc annual,33.31,25.78,26.92,38.43,26.08,27.52,34.90,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
