"LOUND (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TG501008,Long,1.687378,Lat,52.547546,,,,,,,
Station no,1382,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.21,2.13,1.06,2.01,1.68,3.53,1.29,1.80,2.93,3.82,,
February,3.30,0.93,1.34,1.85,1.90,1.80,2.10,2.87,0.15,1.33,,
March,2.81,2.26,0.37,2.12,1.61,0.70,1.64,1.71,0.71,1.13,,
April,3.54,1.09,2.35,0.34,0.33,0.83,0.63,1.17,2.18,0.69,,
May,1.87,1.33,1.06,1.69,1.75,0.71,1.43,3.33,0.40,0.26,,
June,1.57,1.31,1.46,2.92,2.22,1.53,2.69,3.95,0.52,1.14,,
July,2.79,1.47,2.87,2.27,0.21,1.82,2.47,3.05,0.87,2.64,,
August,2.28,4.05,2.18,4.82,1.31,3.17,2.49,3.28,2.09,3.51,,
September,1.83,2.95,2.00,1.35,1.08,1.17,3.32,1.72,0.21,3.50,,
October,0.72,1.98,2.09,2.27,4.31,3.67,1.30,2.07,2.75,7.00,,
November,3.37,3.93,1.15,4.35,0.73,1.19,2.00,1.13,2.99,3.31,,
December,1.50,2.97,0.94,1.74,1.37,1.11,2.00,2.98,2.85,4.11,,
Total,27.79,26.40,18.87,27.73,18.50,21.23,23.36,29.06,18.65,32.44,,
Calc annual,27.79,26.40,18.87,27.73,18.50,21.23,23.36,29.06,18.65,32.44,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
