"PENTLAND HILLS (HAREHILL)",,,,,,,,,,,,
Grid ref,NT183615,Long,-3.306153,Lat,55.839775,,,,,,,
Station no,5118,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.00,2.98,0.72,3.64,1.70,2.04,4.90,2.39,1.10,2.82,,
February,2.05,0.60,1.40,1.70,1.66,3.40,3.20,3.00,0.60,1.80,,
March,3.00,1.51,0.70,1.97,1.15,1.40,2.65,1.60,0.90,1.42,,
April,3.70,1.90,3.09,1.25,1.04,0.81,1.20,2.50,2.54,1.70,,
May,3.16,1.60,2.08,5.05,2.80,1.88,2.49,2.77,0.90,0.97,,
June,2.31,3.30,2.08,3.08,0.83,2.74,2.48,3.60,2.02,2.50,,
July,3.42,3.10,5.50,2.67,2.50,5.20,5.19,6.50,3.40,3.05,,
August,6.85,3.90,2.24,6.67,1.40,8.00,5.78,3.85,0.67,3.90,,
September,2.08,3.20,4.05,4.82,2.52,3.51,2.18,4.92,0.66,1.96,,
October,0.85,2.30,1.56,7.60,1.87,2.53,3.58,2.16,3.50,3.95,,
November,5.60,3.18,5.60,4.79,1.24,1.25,2.10,1.40,6.10,2.75,,
December,4.54,4.63,4.40,4.74,5.55,3.93,4.20,5.49,3.88,4.10,,
Total,40.56,32.20,33.42,47.98,24.26,36.69,39.95,40.18,26.27,30.92,,
Calc annual,40.56,32.20,33.42,47.98,24.26,36.69,39.95,40.18,26.27,30.92,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
