"CROWLE (N LEVEL PUMPING STATION)",,,,,,,,,,,,
Grid ref,SE749098,Long,-0.870208,Lat,53.579456,,,,,,,
Station no,2587,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.58,1.44,0.52,1.18,1.43,3.36,1.08,1.93,1.84,4.22,,
February,2.57,0.44,1.90,1.56,1.70,0.99,1.46,3.15,0.26,1.45,,
March,2.45,2.22,0.55,1.33,2.14,0.80,1.08,1.51,0.65,1.14,,
April,0.79,0.73,1.21,0.25,0.94,1.79,0.26,0.30,2.01,0.74,,
May,3.49,1.07,1.51,2.79,2.25,0.50,0.88,1.64,0.34,0.65,,
June,0.92,2.38,1.19,1.53,2.73,3.61,2.15,3.66,1.27,0.48,,
July,1.46,1.39,1.90,1.93,0.82,3.21,3.51,4.69,1.24,3.30,,
August,4.88,0.67,2.27,4.87,0.09,4.68,3.25,1.84,0.44,2.26,,
September,1.29,3.56,1.79,1.66,0.73,1.67,3.46,1.36,0.02,1.96,,
October,1.57,1.98,1.74,2.87,1.53,0.96,1.06,1.43,1.72,4.76,,
November,4.89,1.97,1.21,3.73,1.31,0.64,2.12,0.63,2.23,3.46,,
December,1.36,1.48,1.14,2.09,2.12,1.60,1.82,2.70,2.35,2.12,,
Total,27.25,19.33,16.93,25.79,17.79,23.81,22.13,24.84,14.37,26.54,,
Calc annual,27.25,19.33,16.93,25.79,17.79,23.81,22.13,24.84,14.37,26.54,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
