"LAIRG (RAONACLOY)",,,,,,,,,,,,
Grid ref,NC566037,Long,-4.427897,Lat,57.999303,,,,,,,
Station no,5798/85,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,4.24,3.15,4.63,4.92,,
February,,,,,,,1.68,4.09,1.31,1.63,,
March,,,,,,,2.99,2.25,1.38,0.30,,
April,,,,,,,1.36,2.18,2.70,2.36,,
May,,,,,,,0.95,4.65,2.18,1.34,,
June,,,,,,,2.05,2.55,2.03,3.10,,
July,,,,,,,5.03,1.86,2.94,2.39,,
August,,,,,,,4.00,3.24,2.67,4.61,,
September,,,,,,2.27,2.71,1.40,1.56,1.40,,
October,,,,,,3.07,1.88,4.57,4.60,2.47,,
November,,,,,,4.68,2.66,1.33,3.85,2.90,,
December,,,,,,4.18,6.94,3.98,3.49,4.31,,
Total,,,,,,,36.49,35.25,33.34,31.73,,
Calc annual,0.00,0.00,0.00,0.00,0.00,14.20,36.49,35.25,33.34,31.73,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
