"GREENOCK W.W. (GREEN WATER)",,,,,,,,,,,,
Grid ref,NS287701,Long,-4.740959,Lat,55.893465,,,,,,,
Station no,5296,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.70,6.80,5.30,8.50,5.40,5.50,9.40,9.00,2.70,5.80,,
February,4.30,2.50,4.10,7.70,4.80,2.20,5.40,5.10,3.30,7.50,,
March,4.90,6.10,2.30,5.60,2.50,3.70,8.40,2.10,4.70,4.40,,
April,4.50,3.60,3.50,3.50,4.50,2.00,3.10,2.80,4.80,8.60,,
May,2.60,2.70,3.50,4.40,4.70,5.60,2.90,5.60,1.80,3.70,,
June,2.50,4.50,1.80,6.50,4.50,4.20,2.70,4.70,4.80,4.10,,
July,4.90,4.30,6.60,4.80,1.30,7.10,8.10,8.50,8.10,6.80,,
August,5.40,8.10,6.10,7.00,1.80,7.40,6.80,6.60,2.00,4.90,,
September,6.10,5.70,10.00,10.60,6.50,6.70,5.20,6.60,2.00,4.20,,
October,2.30,9.00,5.40,13.40,6.80,4.60,7.70,6.60,8.90,5.00,,
November,9.50,3.00,12.90,12.40,4.50,3.60,3.50,3.00,9.10,8.70,,
December,12.20,7.40,8.30,10.10,12.20,10.00,8.70,9.90,12.80,9.70,,
Total,65.90,63.70,69.80,94.50,59.50,62.60,71.90,70.50,65.00,73.40,,
Calc annual,65.90,63.70,69.80,94.50,59.50,62.60,71.90,70.50,65.00,73.40,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
