"MAER HALL GARDENS",,,,,,,,,,,,
Grid ref,SJ794382,Long,-2.307976,Lat,52.940792,,,,,,,
Station no,2326,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.62,2.59,1.00,1.68,2.53,3.60,2.24,3.03,3.20,3.67,,
February,2.69,1.10,1.71,2.43,1.85,0.55,2.99,3.98,0.47,1.37,,
March,4.15,1.47,1.37,2.45,2.68,1.48,2.59,0.98,1.40,0.49,,
April,1.97,2.23,2.89,0.50,1.49,1.46,0.27,0.92,3.55,0.25,,
May,3.12,1.44,2.41,2.04,3.81,0.75,1.43,2.47,0.48,1.22,,
June,1.65,2.16,2.70,4.33,3.02,3.44,1.99,5.17,1.33,1.23,,
July,1.86,1.43,3.79,3.14,0.55,5.55,7.97,4.85,1.28,1.90,,
August,4.82,2.27,3.05,5.82,1.55,5.22,6.12,3.95,1.18,4.19,,
September,2.21,3.07,2.66,3.14,3.71,2.64,7.18,4.69,0.30,4.85,,
October,1.06,4.12,1.80,5.02,1.99,2.49,2.53,3.67,2.04,4.10,,
November,5.80,1.89,1.98,4.96,1.96,1.64,1.91,1.80,2.30,4.70,,
December,3.36,2.65,1.23,3.41,2.39,3.01,1.36,2.80,4.17,2.66,,
Total,35.31,26.42,26.59,38.92,27.53,31.83,38.58,38.31,21.70,30.63,,
Calc annual,35.31,26.42,26.59,38.92,27.53,31.83,38.58,38.31,21.70,30.63,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
