"GLENDEVON (GLENSHERUP RES)",,,,,,,,,,,,
Grid ref,NN963046,Long,-3.673973,Lat,56.222619,,,,,,,
Station no,5531/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.76,2.95,9.50,7.00,2.65,6.70,,
February,,,,,2.50,2.90,4.00,2.20,2.65,6.01,,
March,,,,,1.90,1.30,4.55,2.50,4.70,2.83,,
April,,,,,2.84,1.20,3.10,1.90,4.25,6.33,,
May,,,,,3.25,3.10,3.15,3.95,0.85,3.99,,
June,,,,,2.50,3.95,1.50,3.15,3.10,4.21,,
July,,,,,1.20,6.45,5.75,5.90,6.80,6.60,,
August,,,,4.85,1.60,6.55,5.75,5.55,1.70,4.96,,
September,,,,7.89,4.00,6.20,2.30,7.80,1.10,3.93,,
October,,,,10.65,4.00,4.30,5.50,4.30,5.55,6.90,,
November,,,,11.10,2.79,0.95,2.10,2.40,9.70,7.53,,
December,,,,7.20,9.35,7.40,6.15,9.65,11.65,6.76,,
Total,,,,,38.69,47.25,53.35,56.30,54.70,66.75,,
Calc annual,0.00,0.00,0.00,41.69,38.69,47.25,53.35,56.30,54.70,66.75,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
