"SALISBURY (MANOR ROAD)",,,,,,,,,,,,
Grid ref,SU151305,Long,-1.785849,Lat,51.073631,,,,,,,
Station no,1509,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.08,3.00,0.92,1.77,3.66,5.87,2.42,3.95,,,,
February,6.53,0.57,1.49,2.72,1.54,0.14,3.98,3.04,,,,
March,4.29,3.25,0.56,3.33,1.55,1.12,1.98,2.10,,,,
April,3.50,2.37,2.90,0.22,0.45,1.54,0.12,0.79,,,,
May,3.21,3.36,2.16,4.03,4.32,0.41,1.76,2.39,,,,
June,0.58,1.55,2.14,3.21,3.28,2.12,1.20,4.51,,,,
July,0.90,0.89,2.90,2.25,0.34,3.85,4.79,2.47,,,,
August,4.93,4.50,2.31,3.68,0.28,4.21,3.26,4.78,,,,
September,4.12,3.79,2.72,2.42,1.29,3.50,3.28,4.44,,,,
October,0.95,4.85,3.74,2.76,3.28,2.25,2.35,3.42,,,,
November,9.59,3.71,2.09,7.54,3.32,0.75,2.59,2.78,,,,
December,3.34,2.41,0.86,3.32,4.39,5.03,3.18,3.73,,,,
Total,45.02,34.25,24.79,37.25,27.70,30.79,30.91,38.40,,,,
Calc annual,45.02,34.25,24.79,37.25,27.70,30.79,30.91,38.40,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
