"ST AUDRIE'S",,,,,,,,,,,,
Grid ref,ST111417,Long,-3.272882,Lat,51.167610,,,,,,,
Station no,2094/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.59,,
February,,,,,,,,,,4.19,,
March,,,,,,,,,,2.48,,
April,,,,,,,,,,3.09,,
May,,,,,,,,,,1.21,,
June,,,,,,,,,,1.49,,
July,,,,,,,,,,4.30,,
August,,,,,,,,,,3.87,,
September,,,,,,,,,,4.65,,
October,,,,,,,,,,11.44,,
November,,,,,,,,,,3.35,,
December,,,,,,,,,,4.56,,
Total,,,,,,,,,,48.22,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.22,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
