"TIGHACHROCHADAIR",,,,,,,,,,,,
Grid ref,NH434483,Long,-4.614811,Lat,57.497762,,,,,,,
Station no,5714/09,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.70,2.53,4.16,,
February,,,,,,,,3.33,1.52,1.88,,
March,,,,,,,,1.93,1.51,0.86,,
April,,,,,,,,2.31,5.20,3.54,,
May,,,,,,,,5.14,1.15,1.22,,
June,,,,,,,,2.74,1.86,3.13,,
July,,,,,,,,3.27,4.26,4.26,,
August,,,,,,,,3.30,2.43,8.41,,
September,,,,,,,3.62,3.30,0.78,2.69,,
October,,,,,,,3.42,5.09,5.35,3.66,,
November,,,,,,,3.08,1.05,4.41,2.62,,
December,,,,,,,8.41,3.53,4.33,5.15,,
Total,,,,,,,,38.69,35.33,41.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,18.53,38.69,35.33,41.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
