"GREEN CRAG",,,,,,,,,,,,
Grid ref,NY926813,Long,-2.117581,Lat,55.126022,,,,,,,
Station no,3578,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.24,3.83,1.16,2.95,3.47,3.55,3.72,1.82,1.83,4.10,,
February,2.11,0.83,2.36,2.08,3.04,2.59,2.72,4.14,0.77,2.71,,
March,3.25,2.16,0.67,1.29,2.06,0.91,2.62,3.07,1.34,2.00,,
April,2.68,1.97,3.04,0.66,0.94,0.84,0.62,2.22,2.34,1.45,,
May,3.28,1.72,2.18,4.97,2.25,0.54,1.55,3.02,0.40,2.32,,
June,1.61,1.64,1.83,1.79,1.87,4.47,1.83,2.86,3.29,1.21,,
July,2.45,1.95,2.42,3.14,1.53,2.23,3.20,6.54,2.97,4.38,,
August,4.41,3.46,3.59,4.59,1.62,7.57,3.87,4.02,0.45,3.63,,
September,1.26,3.68,4.61,5.09,2.09,2.75,3.26,3.07,0.83,1.50,,
October,1.14,2.67,1.08,6.49,1.62,2.36,2.49,2.18,2.63,5.96,,
November,6.74,3.37,2.24,2.88,1.39,1.03,1.78,0.98,5.85,3.41,,
December,2.26,3.54,1.71,2.74,4.10,2.60,1.55,4.08,4.12,3.11,,
Total,33.43,30.82,26.89,38.67,25.98,31.44,29.21,38.00,26.82,35.78,,
Calc annual,33.43,30.82,26.89,38.67,25.98,31.44,29.21,38.00,26.82,35.78,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
