"LOCHLUICHART (THE MANSE)",,,,,,,,,,,,
Grid ref,NH317625,Long,-4.819623,Lat,57.620964,,,,,,,
Station no,5773/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.64,6.64,5.52,4.73,3.80,5.14,6.44,4.22,4.70,4.03,,
February,3.49,3.84,2.55,3.02,3.80,3.59,2.72,4.27,1.67,3.54,,
March,3.60,2.20,2.33,2.34,1.25,2.63,3.43,2.43,-999.00,0.76,,
April,5.01,1.18,2.57,2.17,1.35,2.39,1.24,2.94,4.14,4.05,,
May,1.43,1.71,3.55,4.23,2.24,3.29,1.54,4.28,1.63,1.24,,
June,1.14,2.55,2.79,2.24,1.35,1.77,2.32,1.74,3.33,1.93,,
July,2.70,2.76,3.58,2.76,1.79,4.05,5.15,1.93,5.01,2.19,,
August,4.06,3.00,2.44,1.55,0.38,5.41,4.99,3.30,3.33,4.81,,
September,2.03,3.93,3.31,4.22,4.72,3.72,3.19,3.03,1.54,1.90,,
October,2.26,5.86,1.13,7.42,5.67,5.83,5.59,6.80,5.80,2.21,,
November,6.16,4.26,6.91,4.74,1.60,6.09,2.23,1.65,5.31,2.49,,
December,10.23,5.61,4.08,13.09,9.37,6.95,8.46,4.62,4.05,5.86,,
Total,46.75,43.54,40.76,52.51,37.32,50.86,47.30,41.21,43.12,35.01,,
Calc annual,46.75,43.54,40.76,52.51,37.32,50.86,47.30,41.21,40.51,35.01,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,2.61,0.00,,
