"HATHERLEIGH (PRICE OF PEACE)",,,,,,,,,,,,
Grid ref,SS538060,Long,-4.077568,Lat,50.835015,,,,,,,
Station no,1851/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,5.88,5.29,4.53,,
February,,,,,,,,5.11,0.26,3.80,,
March,,,,,,,,1.51,4.61,2.23,,
April,,,,,,,,0.90,3.90,,,
May,,,,,,,,3.29,1.20,,,
June,,,,,,,,4.53,1.76,,,
July,,,,,,,,3.86,2.41,,,
August,,,,,,,,5.97,1.56,,,
September,,,,,,,,5.29,0.38,,,
October,,,,,,,,4.15,4.96,,,
November,,,,,,,,3.95,8.74,,,
December,,,,,,,,5.17,8.86,,,
Total,,,,,,,,49.61,43.93,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.61,43.93,10.56,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,,
