"BISHOPBRIGGS (SPRINGFIELD NURSERY)",,,,,,,,,,,,
Grid ref,NS619700,Long,-4.210480,Lat,55.903238,,,,,,,
Station no,5185/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.50,2.78,5.34,3.53,1.42,3.27,,
February,,,,,1.96,1.48,2.86,2.35,1.58,2.69,,
March,,,,,1.85,2.41,4.40,0.82,1.65,2.08,,
April,,,,,1.81,0.96,2.02,1.45,2.91,3.25,,
May,,,,,3.54,2.06,2.88,3.04,0.89,2.97,,
June,,,,,2.43,2.97,2.55,2.55,2.49,2.60,,
July,,,,,1.24,5.86,3.58,4.80,5.58,4.12,,
August,,,,,1.08,4.19,4.03,6.57,0.78,4.15,,
September,,,,,3.75,4.64,2.75,3.38,1.36,2.23,,
October,,,,,2.87,2.99,4.07,3.25,4.16,2.80,,
November,,,,,1.88,1.55,1.55,2.08,5.29,4.89,,
December,,,,,6.23,4.46,4.69,4.54,5.70,4.91,,
Total,,,,,31.14,36.35,40.72,38.36,33.81,39.96,,
Calc annual,0.00,0.00,0.00,0.00,31.14,36.35,40.72,38.36,33.81,39.96,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
