"MASHAM MOOR (LOW ASH HEAD)",,,,,,,,,,,,
Grid ref,SE140763,Long,-1.786986,Lat,54.182290,,,,,,,
Station no,3407/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.14,3.77,0.90,4.15,3.82,5.08,5.72,5.63,5.46,6.58,,
February,5.03,1.53,2.65,4.92,3.11,3.42,4.10,7.58,0.44,6.27,,
March,5.03,2.95,0.73,4.53,2.70,1.68,2.48,3.90,2.90,3.67,,
April,3.20,2.10,3.40,0.70,1.27,2.37,0.48,0.88,5.10,2.24,,
May,7.55,1.35,3.43,4.81,3.61,0.98,1.80,7.23,1.60,1.64,,
June,1.12,1.67,3.42,2.80,2.95,3.48,1.92,4.90,1.97,1.67,,
July,1.57,1.13,4.20,3.01,1.40,6.13,3.66,4.75,2.50,5.40,,
August,6.26,3.87,4.00,7.05,1.77,8.42,6.82,5.00,1.03,4.23,,
September,2.43,5.00,3.83,4.98,2.17,4.64,4.78,4.58,0.65,3.51,,
October,1.85,5.33,3.32,8.43,2.89,2.82,5.35,4.34,5.58,9.28,,
November,11.40,2.62,2.88,8.87,3.41,0.95,3.02,1.47,7.13,6.00,,
December,8.40,3.05,2.65,5.17,5.84,5.57,5.02,6.10,10.37,6.25,,
Total,57.98,34.37,35.41,59.42,34.94,45.54,45.15,56.36,44.73,56.74,,
Calc annual,57.98,34.37,35.41,59.42,34.94,45.54,45.15,56.36,44.73,56.74,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
