"GLACKOUR (STRONE NEA)",,,,,,,,,,,,
Grid ref,NH204843,Long,-5.024818,Lat,57.812146,,,,,,,
Station no,5781/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.70,-999.00,6.30,6.00,5.00,7.20,7.30,6.16,7.00,6.55,,
February,4.50,-999.00,4.90,3.30,5.39,4.60,4.00,6.10,2.80,4.00,,
March,4.90,3.00,3.80,3.48,2.50,2.16,4.50,2.40,2.80,0.70,,
April,8.10,2.50,5.50,2.60,4.89,3.80,2.00,4.00,5.20,5.10,,
May,1.50,4.40,3.70,5.60,5.17,4.00,1.80,6.30,1.50,1.00,,
June,2.10,4.72,2.40,4.05,1.96,3.50,2.12,2.70,5.30,4.05,,
July,3.30,4.28,7.70,6.12,0.45,8.30,5.90,2.85,8.00,4.30,,
August,5.85,-999.00,4.89,2.88,1.00,8.80,8.30,6.00,4.10,6.40,,
September,2.30,6.20,5.21,6.00,4.90,3.08,7.01,2.50,2.70,3.00,,
October,3.11,8.25,2.76,9.50,6.30,6.62,9.20,8.00,8.50,2.50,,
November,8.91,7.50,7.80,5.30,2.00,6.60,4.30,2.80,6.50,4.50,,
December,10.20,7.91,4.48,12.40,7.00,8.20,10.10,5.05,6.25,8.60,,
Total,61.47,,59.44,67.23,46.56,66.86,66.53,54.86,60.65,50.70,,
Calc annual,61.47,48.76,59.44,67.23,46.56,66.86,66.53,54.86,60.65,50.70,,
Difference,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
