"CARTMEL FELL (GHYLL HEAD RES.) 4",,,,,,,,,,,,
Grid ref,SD397924,Long,-2.928609,Lat,54.323598,,,,,,,
Station no,3026,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.70,4.83,4.34,5.30,4.69,5.18,8.01,8.25,3.38,9.58,,
February,5.24,1.45,2.53,5.27,2.12,0.61,6.03,7.58,2.53,5.63,,
March,4.31,3.33,0.93,3.81,2.12,1.30,5.16,2.37,4.84,2.45,,
April,3.48,1.95,3.46,2.38,3.81,0.98,1.29,1.22,5.94,5.48,,
May,2.04,3.61,3.16,3.98,3.20,4.43,4.85,6.03,1.45,3.02,,
June,1.06,4.70,4.76,7.27,5.09,2.35,2.67,4.23,5.41,2.82,,
July,4.20,2.82,6.69,6.11,2.24,6.96,4.88,4.48,4.25,8.25,,
August,6.13,8.08,5.10,7.60,3.12,10.13,6.13,5.06,0.94,3.94,,
September,8.61,5.58,9.84,11.12,4.46,5.88,7.19,7.33,1.34,5.72,,
October,1.05,4.50,4.03,14.00,4.53,5.90,9.13,8.81,7.50,4.83,,
November,9.84,3.47,10.95,11.73,3.13,2.55,2.67,1.76,7.50,12.08,,
December,12.88,6.53,5.09,11.15,8.69,8.32,7.06,6.09,12.53,6.87,,
Total,66.54,50.85,60.88,89.72,47.20,54.59,65.07,63.21,57.61,70.67,,
Calc annual,66.54,50.85,60.88,89.72,47.20,54.59,65.07,63.21,57.61,70.67,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
