"GRAINTHORPE (COUNTY SCHOOL)",,,,,,,,,,,,
Grid ref,TF382962,Long,0.079328,Lat,53.444453,,,,,,,
Station no,2569/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.25,1.91,0.92,1.67,1.95,5.15,1.48,2.00,2.64,4.18,,
February,2.78,0.60,1.76,2.18,2.17,1.64,2.15,4.66,0.35,2.55,,
March,2.46,2.84,0.84,2.06,2.52,0.89,1.11,2.21,1.89,1.06,,
April,1.93,0.98,2.72,0.24,0.69,1.27,0.37,0.92,1.70,0.98,,
May,3.90,1.65,2.26,2.50,3.39,1.01,1.62,2.56,0.13,0.52,,
June,1.15,1.58,2.77,2.06,2.88,2.59,1.81,4.03,2.37,0.30,,
July,1.17,0.32,2.00,2.01,0.35,5.33,2.85,5.14,2.24,2.52,,
August,4.82,2.11,2.48,3.07,0.76,3.00,2.64,1.65,0.73,2.93,,
September,1.05,3.41,0.81,1.47,0.81,1.61,3.84,1.81,0.63,2.42,,
October,1.17,2.15,2.09,3.36,1.53,1.17,1.41,1.33,1.85,5.42,,
November,3.68,2.86,1.51,3.38,1.05,0.80,2.00,0.66,2.71,3.40,,
December,1.49,1.85,1.04,2.15,1.91,1.54,2.06,2.50,4.35,3.83,,
Total,27.85,22.26,21.20,26.15,20.01,26.00,23.34,29.47,21.59,30.11,,
Calc annual,27.85,22.26,21.20,26.15,20.01,26.00,23.34,29.47,21.59,30.11,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
