"ACTON BURNELL",,,,,,,,,,,,
Grid ref,SJ534021,Long,-2.689684,Lat,52.614662,,,,,,,
Station no,2285/4/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,1.46,,
April,,,,,,,,,,1.55,,
May,,,,,,,,,,1.68,,
June,,,,,,,,,,1.90,,
July,,,,,,,,,,2.42,,
August,,,,,,,,,,2.58,,
September,,,,,,,,,,4.87,,
October,,,,,,,,,,6.33,,
November,,,,,,,,,,4.57,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.36,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
