"RHONDDA W.W. (LLYN FAWR RESR) OLD GAUGE",,,,,,,,,,,,
Grid ref,SN918033,Long,-3.567673,Lat,51.717955,,,,,,,
Station no,4048,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,13.89,10.89,3.14,6.59,8.41,13.21,17.47,10.16,11.19,12.21,,
February,10.19,2.56,5.03,11.65,3.89,1.02,10.42,11.95,0.75,12.19,,
March,9.88,8.83,7.87,8.31,5.64,5.14,13.46,2.22,9.49,4.92,,
April,8.65,6.79,6.38,3.15,6.84,2.44,0.87,2.58,8.45,8.17,,
May,4.26,5.12,6.29,6.52,8.75,3.60,4.60,7.74,2.27,2.99,,
June,3.56,5.50,5.45,10.50,11.45,5.47,2.06,6.49,4.40,5.72,,
July,2.57,3.70,12.65,9.52,3.97,8.80,9.04,9.70,8.28,12.33,,
August,13.10,11.61,8.99,9.54,2.36,11.04,7.15,8.17,2.63,9.52,,
September,9.85,3.78,10.35,13.35,4.08,10.63,15.11,14.25,0.70,8.45,,
October,2.07,9.06,6.68,23.56,6.51,3.73,12.02,12.45,11.28,12.25,,
November,18.39,6.67,12.04,19.81,9.08,3.30,3.76,4.87,15.53,24.50,,
December,13.60,7.10,3.63,11.86,16.02,12.86,10.93,9.64,23.14,13.25,,
Total,110.01,81.61,88.50,134.36,87.00,81.24,106.89,100.22,98.11,126.50,,
Calc annual,110.01,81.61,88.50,134.36,87.00,81.24,106.89,100.22,98.11,126.50,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
