"LOCH TUMMEL (GRENICH)",,,,,,,,,,,,
Grid ref,NN803602,Long,-3.957382,Lat,56.718082,,,,,,,
Station no,5561/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,0.91,2.34,,,,,,,,,,
February,1.94,0.72,,,,,,,,,,
March,1.81,1.36,,,,,,,,,,
April,2.63,0.96,,,,,,,,,,
May,0.50,1.91,,,,,,,,,,
June,0.74,2.14,,,,,,,,,,
July,1.63,0.61,,,,,,,,,,
August,4.66,1.00,,,,,,,,,,
September,1.92,1.32,,,,,,,,,,
October,0.42,3.66,,,,,,,,,,
November,9.64,,,,,,,,,,,
December,3.85,,,,,,,,,,,
Total,30.65,,,,,,,,,,,
Calc annual,30.65,16.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
