"SHERINGHAM (ST. NICHOLAS PLACE)",,,,,,,,,,,,
Grid ref,TG155434,Long,1.205947,Lat,52.944691,,,,,,,
Station no,1449/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.81,3.24,,,,,,
February,,,,,3.12,1.42,,,,,,
March,,,,,1.67,0.67,,,,,,
April,,,,,1.02,0.86,,,,,,
May,,,,,2.36,0.40,,,,,,
June,,,,,1.99,1.81,,,,,,
July,,,,,0.56,3.07,,,,,,
August,,,,,1.07,3.28,,,,,,
September,,,,,1.48,1.21,,,,,,
October,,,,,3.07,3.64,,,,,,
November,,,,3.90,0.76,1.08,,,,,,
December,,,,1.99,1.77,1.24,,,,,,
Total,,,,,20.68,21.92,,,,,,
Calc annual,0.00,0.00,0.00,5.89,20.68,21.92,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,,
