"SITTINGBOURNE (HIGHSTED WATERWORKS)",,,,,,,,,,,,
Grid ref,TQ910607,Long,0.739238,Lat,51.313349,,,,,,,
Station no,314/5/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.98,2.31,0.94,1.79,3.66,4.46,1.69,3.07,2.09,2.59,,
February,6.66,0.96,0.97,2.27,2.07,0.89,3.53,2.30,0.02,1.81,,
March,3.53,3.89,0.19,1.97,1.60,0.44,0.79,1.37,1.70,1.72,,
April,2.27,0.98,1.74,0.22,0.17,1.12,0.19,1.68,3.07,0.58,,
May,2.17,0.90,2.43,1.69,4.35,0.68,1.66,2.05,1.07,2.30,,
June,1.67,1.19,2.86,4.16,2.11,2.05,1.97,4.36,1.15,1.55,,
July,2.05,0.71,2.52,2.45,2.45,3.93,3.91,1.09,2.07,2.56,,
August,4.72,3.10,1.60,4.15,2.95,3.59,2.51,3.44,1.03,4.04,,
September,3.84,4.04,3.08,1.43,2.18,1.91,2.35,3.34,0.25,2.66,,
October,1.08,2.23,2.13,2.18,4.53,1.37,1.01,3.66,2.40,5.99,,
November,3.81,4.38,1.36,6.28,0.74,0.81,3.02,1.64,4.39,5.52,,
December,2.41,2.57,0.66,1.78,1.92,3.12,2.54,3.21,5.21,3.31,,
Total,37.19,27.26,20.48,30.37,28.73,24.37,25.17,31.21,24.45,34.63,,
Calc annual,37.19,27.26,20.48,30.37,28.73,24.37,25.17,31.21,24.45,34.63,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
