"LOCH QUOICH (GLENQUOICH)",,,,,,,,,,,,
Grid ref,NH028028,Long,-5.254902,Lat,57.073866,,,,,,,
Station no,5710,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,12.46,11.54,14.18,11.87,5.59,,,,,,,
February,6.59,7.32,10.80,5.79,5.49,,,,,,,
March,5.94,9.00,5.01,6.34,2.21,,,,,,,
April,8.06,5.34,7.90,4.42,6.28,,,,,,,
May,0.73,4.43,6.35,4.83,6.49,,,,,,,
June,4.18,7.02,1.68,7.94,-999.00,,,,,,,
July,7.66,6.32,8.88,5.45,,,,,,,,
August,10.36,8.57,10.17,7.31,,,,,,,,
September,7.16,11.87,10.67,12.30,,,,,,,,
October,4.60,15.30,11.23,17.36,,,,,,,,
November,12.54,8.28,24.60,13.94,,,,,,,,
December,19.67,12.24,10.39,25.06,,,,,,,,
Total,99.95,107.23,121.86,122.61,,,,,,,,
Calc annual,99.95,107.23,121.86,122.61,26.06,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
