"COUNDON RESERVOIR",,,,,,,,,,,,
Grid ref,SP319808,Long,-1.532319,Lat,52.424262,,,,,,,
Station no,2467/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.57,2.28,1.04,1.06,2.41,4.56,1.47,2.82,3.86,5.00,,
February,3.15,0.48,1.54,2.68,2.07,0.67,2.88,3.23,0.07,1.85,,
March,4.02,2.66,1.44,2.49,2.86,0.81,2.28,1.61,1.86,1.50,,
April,2.25,2.47,2.18,0.40,1.13,0.77,0.30,0.97,2.81,0.97,,
May,3.31,2.89,1.56,2.50,4.79,0.73,1.43,2.02,0.67,1.34,,
June,1.63,1.72,2.16,3.10,3.13,2.78,2.10,5.18,0.98,4.03,,
July,1.58,0.32,3.07,3.66,0.68,2.86,3.85,4.22,1.30,3.90,,
August,6.07,4.60,2.83,4.30,0.58,4.88,2.40,2.60,1.40,3.19,,
September,1.90,1.49,1.88,2.36,1.39,2.04,4.11,3.34,0.05,4.21,,
October,0.85,4.09,2.80,4.00,1.53,1.78,1.31,2.96,2.72,5.64,,
November,6.73,2.20,1.86,5.69,2.07,0.72,1.59,2.13,3.11,4.24,,
December,1.94,2.54,0.99,2.02,2.30,3.16,2.29,2.84,4.23,3.65,,
Total,36.00,27.74,23.35,34.26,24.94,25.76,26.01,33.92,23.06,39.52,,
Calc annual,36.00,27.74,23.35,34.26,24.94,25.76,26.01,33.92,23.06,39.52,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
