"HALKIRK (WESTERDALE)",,,,,,,,,,,,
Grid ref,ND129517,Long,-3.493832,Lat,58.444877,,,,,,,
Station no,5811/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.89,3.82,2.92,2.00,2.08,6.35,2.90,4.35,,,,
February,4.00,2.09,1.66,2.45,3.07,2.35,1.66,3.93,,,,
March,,2.44,1.70,2.24,2.64,2.50,3.07,1.87,,,,
April,,0.81,2.67,1.20,1.29,2.35,1.15,1.81,,,,
May,,1.69,2.54,2.94,4.47,2.35,1.17,3.55,,,,
June,,3.04,2.14,3.21,0.97,3.50,2.56,1.18,,,,
July,,1.74,2.83,4.55,0.33,6.60,5.05,2.17,,,,
August,,3.31,2.33,2.39,0.77,4.58,4.37,3.13,,,,
September,1.00,3.21,2.69,3.40,3.69,1.35,4.65,1.49,,,,
October,1.61,4.30,1.32,6.09,6.25,2.82,2.10,3.49,,,,
November,5.81,3.64,2.69,4.73,2.75,3.94,2.65,1.45,,,,
December,3.79,2.76,2.53,6.31,7.66,3.16,5.00,3.00,,,,
Total,,32.85,28.02,41.51,35.97,41.85,36.33,31.42,,,,
Calc annual,18.10,32.85,28.02,41.51,35.97,41.85,36.33,31.42,0.00,0.00,,
Difference,NaN,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
