"CATHERINGTON RESERVOIR",,,,,,,,,,,,
Grid ref,SU696146,Long,-1.011068,Lat,50.926665,,,,,,,
Station no,697/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.33,2.57,1.24,2.33,3.86,6.20,3.55,5.45,3.62,4.74,,
February,6.33,0.76,1.83,3.81,2.16,0.19,5.49,3.05,0.21,3.98,,
March,5.75,3.50,0.53,3.95,1.33,0.67,2.53,1.66,2.92,2.41,,
April,3.05,2.06,1.78,0.29,0.54,1.95,0.20,0.60,3.16,1.30,,
May,2.87,2.25,3.17,3.00,5.02,0.30,1.35,3.30,0.49,1.24,,
June,2.65,1.38,2.62,3.80,3.16,2.84,2.10,3.52,0.89,3.22,,
July,2.95,0.31,5.23,3.80,0.69,3.30,4.77,2.31,3.63,5.80,,
August,6.86,3.65,2.22,3.52,1.82,4.24,3.25,4.96,4.96,4.64,,
September,3.43,4.05,2.90,3.79,2.83,4.24,3.41,5.02,0.18,6.03,,
October,1.45,5.07,3.64,3.87,4.91,1.88,2.67,3.21,3.09,9.32,,
November,9.76,4.90,1.93,6.68,3.15,0.73,3.06,3.16,4.78,7.04,,
December,3.43,3.16,0.89,3.88,5.19,6.26,3.32,3.95,9.09,4.88,,
Total,52.86,33.66,27.98,42.72,34.66,32.80,35.70,40.19,37.02,54.60,,
Calc annual,52.86,33.66,27.98,42.72,34.66,32.80,35.70,40.19,37.02,54.60,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
