"MORPETH (COCKLE PARK)",,,,,,,,,,,,
Grid ref,NZ201912,Long,-1.685646,Lat,55.214635,,,,,,,
Station no,3587,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.15,2.64,0.73,2.78,3.14,3.99,2.56,2.30,2.49,4.64,,
February,2.36,0.69,1.42,2.14,2.73,2.47,2.86,2.91,0.34,3.13,,
March,4.26,2.12,0.22,1.27,2.10,0.91,2.37,4.11,0.72,1.94,,
April,1.96,1.06,2.23,0.59,0.70,0.94,0.37,2.09,2.15,0.81,,
May,4.05,1.91,1.84,2.75,2.04,0.47,1.97,2.94,0.36,2.62,,
June,1.81,1.38,2.03,1.47,1.11,2.28,1.41,3.75,1.67,0.99,,
July,1.41,2.94,2.41,2.32,1.40,2.64,3.56,3.30,2.13,4.82,,
August,3.83,3.31,3.51,7.03,1.15,8.62,3.66,2.58,0.31,2.50,,
September,0.83,3.75,1.61,3.15,0.94,2.64,3.00,2.82,0.78,2.37,,
October,0.74,3.55,1.42,4.15,1.69,2.05,2.30,1.94,1.64,7.02,,
November,6.88,3.21,1.51,3.21,1.60,0.86,1.60,0.60,4.29,3.54,,
December,1.38,2.75,0.88,1.35,3.95,2.05,1.82,4.15,3.61,1.98,,
Total,31.66,29.31,19.81,32.21,22.55,29.92,27.48,33.49,20.49,36.36,,
Calc annual,31.66,29.31,19.81,32.21,22.55,29.92,27.48,33.49,20.49,36.36,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
