"ASHTON-UNDER-LYNE (HENRIETTA ST YD.) ",,,,,,,,,,,,
Grid ref,SJ940995,Long,-2.091903,Lat,53.492172,,,,,,,
Station no,2935,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.17,4.30,1.92,4.13,2.95,5.42,3.21,3.86,3.80,5.40,,
February,2.81,1.24,2.54,2.99,1.86,1.39,2.79,5.61,0.38,2.28,,
March,4.76,2.48,2.36,2.80,2.20,1.22,3.60,2.58,1.83,0.75,,
April,2.51,3.40,2.40,0.74,2.13,3.05,0.39,1.22,2.77,2.28,,
May,1.42,1.97,2.02,2.99,3.60,1.19,1.40,3.40,0.91,1.88,,
June,1.05,3.12,3.75,3.69,2.94,3.37,2.40,5.03,3.03,1.75,,
July,3.40,3.62,5.69,6.18,1.11,6.39,4.79,5.12,3.73,6.28,,
August,5.69,2.96,5.12,5.32,0.69,9.79,5.08,5.12,0.47,6.88,,
September,2.85,3.64,2.63,4.82,2.33,3.38,6.89,4.90,0.25,3.54,,
October,1.07,3.61,2.22,6.79,2.11,2.70,4.55,3.39,2.96,3.64,,
November,6.61,2.70,3.77,5.83,1.75,1.60,1.90,1.39,4.16,5.54,,
December,5.93,3.74,1.56,6.17,4.67,4.09,4.29,3.37,5.72,4.09,,
Total,42.27,36.78,35.98,52.45,28.34,43.59,41.29,44.99,30.01,44.31,,
Calc annual,42.27,36.78,35.98,52.45,28.34,43.59,41.29,44.99,30.01,44.31,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
