"NEWTON STEWART (LITTLE BARRAER)",,,,,,,,,,,,
Grid ref,NX381619,Long,-4.527983,Lat,54.925452,,,,,,,
Station no,5011,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.27,4.49,1.96,4.59,4.05,3.79,4.46,5.40,2.27,5.06,,
February,3.61,1.03,1.33,4.51,3.22,1.03,2.97,4.32,1.71,5.27,,
March,3.79,2.96,0.53,3.90,2.21,2.03,4.20,1.23,3.65,2.60,,
April,1.72,1.73,1.82,1.45,3.11,2.30,1.59,1.35,3.39,4.18,,
May,2.23,2.24,2.52,2.53,3.26,1.47,3.42,2.76,1.84,2.31,,
June,2.30,3.14,1.34,5.04,3.69,2.88,1.75,3.80,2.94,2.56,,
July,2.44,2.21,5.44,4.94,1.77,5.43,4.62,4.05,2.85,4.64,,
August,7.98,3.34,3.20,4.56,1.66,6.83,3.37,4.95,0.65,5.26,,
September,5.00,2.86,6.76,7.23,3.45,4.72,4.51,6.28,2.47,4.00,,
October,0.57,4.24,4.58,8.49,2.30,3.08,4.99,4.05,6.39,4.43,,
November,9.20,2.94,6.51,8.87,3.53,2.17,2.20,2.92,5.31,7.76,,
December,7.23,4.40,4.80,6.59,5.70,4.54,5.70,5.84,8.38,4.77,,
Total,51.34,35.58,40.79,62.70,37.95,40.27,43.78,46.95,41.85,52.84,,
Calc annual,51.34,35.58,40.79,62.70,37.95,40.27,43.78,46.95,41.85,52.84,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
