"CANT CLOUGH S. SIDE BURNLEY W.W",,,,,,,,,,,,
Grid ref,SD894306,Long,-2.162306,Lat,53.771631,,,,,,,
Station no,2959/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.15,6.93,2.32,4.90,2.67,6.38,4.62,5.47,3.47,6.24,,
February,5.08,2.12,3.02,4.06,2.66,1.56,4.72,7.16,0.74,4.53,,
March,5.98,2.74,2.43,3.45,2.74,2.14,4.17,2.43,2.42,1.94,,
April,3.64,3.83,4.01,0.74,2.49,4.26,0.41,1.50,4.07,3.74,,
May,2.66,2.20,2.49,4.27,4.54,1.90,1.98,5.79,2.34,2.33,,
June,1.56,3.56,3.51,3.02,3.19,3.04,2.49,5.25,3.53,1.26,,
July,4.63,3.12,6.17,5.11,1.42,5.37,5.88,3.98,3.33,7.32,,
August,5.57,6.98,5.88,8.21,1.57,12.47,6.76,4.62,0.96,6.40,,
September,3.65,5.37,5.32,6.18,3.10,4.45,6.48,6.00,0.27,3.13,,
October,1.66,6.33,2.61,7.82,3.59,2.92,5.95,4.43,6.39,6.29,,
November,12.03,3.07,6.42,8.54,3.26,2.06,2.88,1.87,6.91,8.88,,
December,11.89,5.57,2.20,7.61,6.58,6.44,6.42,5.61,10.07,5.71,,
Total,64.50,51.82,46.38,63.91,37.81,52.99,52.76,54.11,44.50,57.77,,
Calc annual,64.50,51.82,46.38,63.91,37.81,52.99,52.76,54.11,44.50,57.77,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
