"KILBIRNIE (PUNDEAVON RESERVOIR 2.)",,,,,,,,,,,,
Grid ref,NS294577,Long,-4.721987,Lat,55.782427,,,,,,,
Station no,5253/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,8.01,4.35,6.10,7.90,6.60,2.80,5.68,,
February,,,,7.12,3.85,3.10,4.40,6.14,2.32,7.13,,
March,,,,4.87,1.70,4.87,9.10,2.30,4.40,2.80,,
April,,,,4.30,7.40,2.50,3.80,3.20,3.10,8.70,,
May,,,,4.40,6.80,5.80,3.40,4.50,1.60,3.40,,
June,,,,7.30,5.00,5.00,3.20,2.40,3.30,5.05,,
July,,,,7.15,2.40,9.00,7.70,5.40,8.01,7.40,,
August,,,,9.23,1.75,7.70,7.68,4.30,2.65,5.92,,
September,,,,11.00,8.15,7.20,5.82,3.95,2.04,5.30,,
October,,,,13.90,5.60,5.10,10.20,4.10,10.03,3.76,,
November,,,,12.55,3.80,4.35,3.00,3.90,8.44,10.10,,
December,,,,12.05,11.73,10.25,5.70,5.98,12.12,11.80,,
Total,,,,101.88,62.53,70.97,71.90,52.77,60.81,77.04,,
Calc annual,0.00,0.00,0.00,101.88,62.53,70.97,71.90,52.77,60.81,77.04,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
