"CARLTON-LE-MOORLAND",,,,,,,,,,,,
Grid ref,SK905580,Long,-0.649447,Lat,53.111519,,,,,,,
Station no,2548,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.31,,,,,,,,,,,
February,2.77,,,,,,,,,,,
March,3.13,,,,,,,,,,,
April,1.74,,,,,,,,,,,
May,3.14,,,,,,,,,,,
June,1.37,,,,,,,,,,,
July,0.90,,,,,,,,,,,
August,5.35,,,,,,,,,,,
September,1.16,,,,,,,,,,,
October,2.06,,,,,,,,,,,
November,4.86,,,,,,,,,,,
December,1.13,,,,,,,,,,,
Total,29.92,,,,,,,,,,,
Calc annual,29.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
