"CHARMOUTH (FISHPOND)",,,,,,,,,,,,
Grid ref,SY368985,Long,-2.897840,Lat,50.782614,,,,,,,
Station no,1594/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.44,2.45,0.88,2.07,,,,,,,,
February,4.65,0.83,1.59,3.37,,,,,,,,
March,3.55,3.52,0.57,4.60,,,,,,,,
April,1.87,2.36,3.18,0.11,,,,,,,,
May,2.85,3.25,3.18,2.16,,,,,,,,
June,0.91,2.29,2.13,2.68,,,,,,,,
July,3.72,1.04,3.13,2.56,,,,,,,,
August,4.85,3.31,2.64,3.68,,,,,,,,
September,3.22,3.37,2.95,3.57,,,,,,,,
October,0.82,4.31,3.33,2.89,,,,,,,,
November,7.64,4.98,1.62,5.20,,,,,,,,
December,2.24,3.33,0.60,2.24,,,,,,,,
Total,39.76,35.04,25.80,35.13,,,,,,,,
Calc annual,39.76,35.04,25.80,35.13,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
