"WORKINGTON (STAINBURN RES.)",,,,,,,,,,,,
Grid ref,NY022293,Long,-3.517216,Lat,54.649285,,,,,,,
Station no,3645,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.94,3.37,2.44,3.28,2.95,2.81,5.55,4.90,,,,
February,3.18,0.59,1.35,3.52,1.02,0.52,3.36,,,,,
March,3.77,2.26,0.51,3.07,1.23,1.27,3.62,,,,,
April,2.12,3.03,2.74,1.38,2.59,1.22,1.68,,,,,
May,1.22,2.34,2.05,3.91,2.63,2.97,3.03,,,,,
June,1.47,3.75,1.99,4.60,4.38,2.26,1.58,,,,,
July,3.92,2.14,5.51,5.05,2.78,5.52,3.61,,,,,
August,6.17,5.58,4.50,5.31,2.31,9.18,3.86,,,,,
September,7.40,3.70,6.03,7.10,2.65,3.84,5.77,,,,,
October,0.86,2.65,2.87,8.66,1.80,3.46,5.02,,,,,
November,6.35,2.09,7.10,8.34,1.71,1.28,2.29,,,,,
December,7.33,4.07,2.62,4.05,4.64,5.15,4.32,,,,,
Total,47.73,35.57,39.71,58.27,30.69,39.48,43.69,,,,,
Calc annual,47.73,35.57,39.71,58.27,30.69,39.48,43.69,4.90,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
