"FARLINGTON RESERVOIRS",,,,,,,,,,,,
Grid ref,SU679060,Long,-1.036849,Lat,50.849544,,,,,,,
Station no,681/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.20,2.29,1.13,2.24,3.57,4.74,2.41,4.59,3.51,4.35,,
February,5.70,0.61,1.35,3.14,1.70,0.10,4.46,2.69,0.18,3.50,,
March,4.59,2.98,0.45,3.34,1.31,0.39,2.00,1.32,2.68,1.81,,
April,2.65,1.64,1.50,0.19,0.45,1.96,0.20,0.70,2.17,0.91,,
May,2.42,2.46,2.43,2.40,4.08,0.31,1.00,2.55,0.40,1.19,,
June,1.64,1.29,2.89,3.02,2.74,2.31,1.55,3.18,0.80,2.31,,
July,2.08,0.32,3.85,3.87,1.80,2.59,3.92,3.16,2.85,4.02,,
August,4.69,2.32,1.72,3.32,1.44,3.45,2.25,5.08,4.04,5.81,,
September,3.01,3.86,2.69,2.72,2.01,3.13,3.30,4.59,0.18,5.24,,
October,1.40,4.07,3.76,2.43,2.68,1.63,1.97,2.45,3.09,7.54,,
November,8.09,4.39,1.64,5.82,1.96,0.65,2.71,2.79,3.73,5.91,,
December,2.83,2.97,0.70,3.30,4.20,5.07,2.22,3.99,7.50,4.68,,
Total,42.30,29.20,24.11,35.79,27.94,26.33,27.99,37.09,31.13,47.27,,
Calc annual,42.30,29.20,24.11,35.79,27.94,26.33,27.99,37.09,31.13,47.27,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
