"YORK (MUSEUM)",,,,,,,,,,,,
Grid ref,SE598522,Long,-1.090037,Lat,53.962435,,,,,,,
Station no,3448,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.91,1.58,0.47,1.36,1.06,4.11,1.03,2.24,2.21,4.66,,
February,2.16,0.38,1.65,2.16,1.71,1.50,2.48,3.56,0.27,1.64,,
March,2.69,2.24,0.23,1.80,1.93,1.11,1.66,2.01,0.99,0.97,,
April,0.87,1.19,2.16,0.22,1.10,1.66,0.20,0.61,3.09,0.97,,
May,3.71,1.48,1.74,2.53,2.19,0.91,0.94,3.40,0.45,0.66,,
June,1.08,1.71,1.24,1.96,2.37,2.43,2.26,3.24,1.42,0.63,,
July,2.23,1.67,1.74,2.05,1.04,3.63,3.05,2.87,2.28,5.84,,
August,5.74,1.67,2.88,7.18,0.59,6.15,5.11,2.33,0.29,2.74,,
September,1.77,3.72,1.19,1.82,1.26,1.86,3.16,2.41,0.17,3.11,,
October,1.70,2.44,1.59,2.95,1.45,1.24,2.03,1.37,1.72,5.08,,
November,5.26,1.48,1.98,4.47,1.99,0.65,1.47,0.70,2.83,4.13,,
December,1.98,1.64,1.31,1.97,2.69,2.20,2.32,3.41,3.04,2.26,,
Total,31.10,21.20,18.18,30.47,19.38,27.45,25.71,28.15,18.76,32.69,,
Calc annual,31.10,21.20,18.18,30.47,19.38,27.45,25.71,28.15,18.76,32.69,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
